出発駅,出発路線,到着駅,到着路線,最短営業キロ,運賃_きっぷ,運賃_IC
浅草,銀座線,田原町,銀座線,0.8,180,178
浅草,銀座線,稲荷町,銀座線,1.5,180,178
浅草,銀座線,上野,銀座線/日比谷線,2.2,180,178
浅草,銀座線,上野広小路/仲御徒町,銀座線/日比谷線,2.7,180,178
浅草,銀座線,末広町,銀座線,3.3,180,178
浅草,銀座線,神田,銀座線,4.4,180,178
浅草,銀座線,三越前,銀座線/半蔵門線,5.1,180,178
浅草,銀座線,日本橋,銀座線/東西線,5.7,180,178
浅草,銀座線,京橋,銀座線,6.4,210,209
浅草,銀座線,銀座/銀座一丁目,銀座線/丸ノ内線/日比谷線/有楽町線,7.1,210,209
浅草,銀座線,新橋,銀座線,8.0,210,209
浅草,銀座線,虎ノ門/虎ノ門ヒルズ,銀座線/日比谷線,8.8,210,209
浅草,銀座線,溜池山王/国会議事堂前,銀座線/丸ノ内線/千代田線/南北線,8.8,210,209
浅草,銀座線,赤坂見附/永田町,銀座線/丸ノ内線/有楽町線/半蔵門線/南北線,9.1,210,209
浅草,銀座線,青山一丁目,銀座線/半蔵門線,10.4,210,209
浅草,銀座線,外苑前,銀座線,11.1,260,252
浅草,銀座線,表参道,銀座線/千代田線/半蔵門線,11.8,260,252
浅草,銀座線,渋谷,銀座線/半蔵門線/副都心線,13.1,260,252
浅草,銀座線,池袋,丸ノ内線/有楽町線/副都心線,13.4,260,252
浅草,銀座線,新大塚,丸ノ内線,12.1,260,252
浅草,銀座線,茗荷谷,丸ノ内線,10.9,210,209
浅草,銀座線,後楽園,丸ノ内線/南北線,9.1,210,209
浅草,銀座線,本郷三丁目,丸ノ内線,8.3,210,209
浅草,銀座線,御茶ノ水,丸ノ内線,7.5,210,209
浅草,銀座線,淡路町/新御茶ノ水,丸ノ内線/千代田線,6.7,210,209
浅草,銀座線,大手町,丸ノ内線/東西線/千代田線/半蔵門線,5.8,180,178
浅草,銀座線,東京,丸ノ内線,6.4,210,209
