駅ID,駅名,路線,駅グループ
0,浅草,銀座線,浅草
1,田原町,銀座線,田原町
2,稲荷町,銀座線,稲荷町
3,上野,銀座線,上野
4,上野広小路,銀座線,上野広小路/仲御徒町
5,末広町,銀座線,末広町
6,神田,銀座線,神田
7,三越前,銀座線,三越前
8,日本橋,銀座線,日本橋
9,京橋,銀座線,京橋
10,銀座,銀座線,銀座/銀座一丁目
11,新橋,銀座線,新橋
12,虎ノ門,銀座線,虎ノ門/虎ノ門ヒルズ
13,溜池山王,銀座線,溜池山王/国会議事堂前
14,赤坂見附,銀座線,赤坂見附/永田町
15,青山一丁目,銀座線,青山一丁目
16,外苑前,銀座線,外苑前
17,表参道,銀座線,表参道
18,渋谷,銀座線,渋谷
19,池袋,丸ノ内線,池袋
20,新大塚,丸ノ内線,新大塚
21,茗荷谷,丸ノ内線,茗荷谷
22,後楽園,丸ノ内線,後楽園
23,本郷三丁目,丸ノ内線,本郷三丁目
24,御茶ノ水,丸ノ内線,御茶ノ水
25,淡路町,丸ノ内線,淡路町/新御茶ノ水
26,大手町,丸ノ内線,大手町
27,東京,丸ノ内線,東京
28,銀座,丸ノ内線,銀座/銀座一丁目
29,霞ケ関,丸ノ内線,霞ケ関
30,国会議事堂前,丸ノ内線,溜池山王/国会議事堂前
31,赤坂見附,丸ノ内線,赤坂見附/永田町
32,四ツ谷,丸ノ内線,四ツ谷
33,四谷三丁目,丸ノ内線,四谷三丁目
34,新宿御苑前,丸ノ内線,新宿御苑前
35,新宿三丁目,丸ノ内線,新宿三丁目
36,新宿,丸ノ内線,新宿
37,西新宿,丸ノ内線,西新宿
38,中野坂上,丸ノ内線,中野坂上
39,新中野,丸ノ内線,新中野
40,東高円寺,丸ノ内線,東高円寺
41,新高円寺,丸ノ内線,新高円寺
42,南阿佐ケ谷,丸ノ内線,南阿佐ケ谷
43,荻窪,丸ノ内線,荻窪
44,中野新橋,丸ノ内線支線,中野新橋
45,中野富士見町,丸ノ内線支線,中野富士見町
46,方南町,丸ノ内線支線,方南町
